#
#
# US Geological Survey, Water Resources Data
# retrieved: 2022-05-05 16:26:14 EDT      (sdww01)
#
# This file contains USGS Surface-Water Daily Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
#
#
# Sites in this file include:
# USGS 06478513 JAMES RIVER NR YANKTON SD
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		294960	
#
# Data heading explanations.
# begin_yr_dt ... First complete water year of data of daily mean values for this day.
# end_yr_dt   ... Last complete water year of data of daily mean values for this day.
# max_va      ... Maximum of daily mean values for this day.
# min_va      ... Minimum of daily mean values for this day.
# mean_va     ... Mean of daily mean values for this day.
# p05_va      ... 05 percentile of daily mean values for this day.
# p10_va      ... 10 percentile of daily mean values for this day.
# p20_va      ... 20 percentile of daily mean values for this day.
# p25_va      ... 25 percentile of daily mean values for this day.
# p50_va      ... 50 percentile (median) of daily mean values for this day.
# p75_va      ... 75 percentile of daily mean values for this day.
# p80_va      ... 80 percentile of daily mean values for this day.
# p90_va      ... 90 percentile of daily mean values for this day.
# p95_va      ... 95 percentile of daily mean values for this day.
#
#
agency_cd	site_no	parameter_cd	ts_id	month_nu	day_nu	begin_yr	end_yr	count_nu	max_va_yr	max_va	min_va_yr	min_va	mean_va	p05_va	p10_va	p20_va	p25_va	p50_va	p75_va	p80_va	p90_va	p95_va
5s	15s	5s	11n	3n	3n	6n	6n	8n	5n	12s	5n	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s
USGS	06478513	00060	294960	3	2	2014	2021	8	2020	4120	2014	95.0	871			95	97	230	1250	1990		
USGS	06478513	00060	294960	3	3	2014	2021	8	2020	4450	2014	95.0	910			95	101	242	1200	2000		
USGS	06478513	00060	294960	3	4	2014	2021	8	2020	4850	2015	87.0	968			97	117	259	1170	2030		
USGS	06478513	00060	294960	3	5	2014	2021	8	2020	5320	2015	85.0	1040			101	127	301	1130	2070		
USGS	06478513	00060	294960	3	6	2014	2021	8	2020	6380	2015	95.0	1200			107	131	422	1100	2240		
USGS	06478513	00060	294960	3	7	2014	2021	8	2020	7460	2014	115	1390			115	135	583	1090	2430		
USGS	06478513	00060	294960	3	8	2014	2021	8	2020	8200	2014	110	1490			134	153	599	1090	2560		
USGS	06478513	00060	294960	3	9	2014	2021	8	2020	8940	2014	120	1580			152	169	602	1070	2680		
USGS	06478513	00060	294960	3	10	2014	2021	8	2020	9450	2014	140	1650			168	180	605	1040	2750		
USGS	06478513	00060	294960	3	11	2014	2021	8	2020	9820	2014	160	1690			176	182	620	1000	2800		
USGS	06478513	00060	294960	3	12	2014	2021	8	2020	10100	2014	180	1710			182	184	615	911	2760		
USGS	06478513	00060	294960	3	13	2014	2021	8	2020	10400	2015	187	1830			205	250	781	997	2900		
USGS	06478513	00060	294960	3	14	2014	2021	8	2020	11200	2015	188	2570			218	260	677	4940	7260		
USGS	06478513	00060	294960	3	15	2014	2021	8	2019	13300	2015	197	3580			231	275	712	9330	12300		
USGS	06478513	00060	294960	3	16	2014	2021	8	2019	15600	2015	202	4030			256	307	858	9860	13300		
USGS	06478513	00060	294960	3	17	2014	2021	8	2019	15400	2015	205	4130			281	340	920	10100	13300		
USGS	06478513	00060	294960	3	18	2014	2021	8	2019	15000	2015	214	4170			310	378	968	10200	13200		
USGS	06478513	00060	294960	3	19	2014	2021	8	2019	14900	2015	224	4280			479	546	1040	10300	13100		
USGS	06478513	00060	294960	3	20	2014	2021	8	2019	15000	2015	220	4390			518	672	1050	10500	13300		
USGS	06478513	00060	294960	3	21	2014	2021	8	2019	15400	2015	227	4450			557	712	1220	10300	13200		
USGS	06478513	00060	294960	3	22	2014	2021	8	2019	15700	2015	249	4460			603	741	1300	10000	13000		
USGS	06478513	00060	294960	3	23	2014	2021	8	2019	16100	2015	271	4500			662	782	1320	9890	12900		
USGS	06478513	00060	294960	3	24	2014	2021	8	2019	17000	2015	284	4590			712	824	1320	9640	12800		
USGS	06478513	00060	294960	3	25	2014	2021	8	2019	18100	2015	308	4750			720	851	1320	9550	12800		
USGS	06478513	00060	294960	3	26	2014	2021	8	2019	18900	2015	327	4880			697	855	1300	9550	12900		
USGS	06478513	00060	294960	3	27	2014	2021	8	2019	19200	2015	362	4960			696	852	1260	9750	13100		
USGS	06478513	00060	294960	3	28	2014	2021	8	2019	19000	2015	374	4950			708	843	1250	9780	13100		
USGS	06478513	00060	294960	3	29	2014	2021	8	2019	18300	2015	379	4860			707	826	1260	9800	12900		
USGS	06478513	00060	294960	3	30	2014	2021	8	2019	17500	2015	383	4770			748	852	1260	9860	12900		
USGS	06478513	00060	294960	3	31	2014	2021	8	2019	16300	2015	435	4630			764	864	1230	9970	12800		
USGS	06478513	00060	294960	4	1	2014	2021	8	2019	15000	2015	458	4410			740	844	1220	9810	12400		
USGS	06478513	00060	294960	4	2	2014	2021	8	2019	13600	2015	433	4130			723	827	1200	9580	12100		
USGS	06478513	00060	294960	4	3	2014	2021	8	2019	12700	2015	405	3860			693	792	1170	9090	11600		
USGS	06478513	00060	294960	4	4	2014	2021	8	2019	12300	2015	405	3680			664	757	1190	8600	11100		
USGS	06478513	00060	294960	4	5	2014	2021	8	2019	12000	2015	396	3570			639	728	1200	8310	10800		
USGS	06478513	00060	294960	4	6	2014	2021	8	2019	12100	2015	377	3490			601	682	1180	7960	10500		
USGS	06478513	00060	294960	4	7	2014	2021	8	2019	13200	2015	363	3550			578	652	1130	7720	10500		
USGS	06478513	00060	294960	4	8	2014	2021	8	2019	14500	2015	369	3650			588	655	1090	7470	10500		
USGS	06478513	00060	294960	4	9	2014	2021	8	2019	15000	2015	385	3680			615	693	1020	7270	10400		
USGS	06478513	00060	294960	4	10	2014	2021	8	2019	15000	2015	371	3610			573	663	1020	6930	10000		
USGS	06478513	00060	294960	4	11	2014	2021	8	2019	15200	2015	357	3610			518	611	1030	6800	9960		
USGS	06478513	00060	294960	4	12	2014	2021	8	2019	15400	2015	343	3620			509	606	1020	6730	9910		
USGS	06478513	00060	294960	4	13	2014	2021	8	2019	15000	2015	319	3550			500	595	1010	6640	9720		
USGS	06478513	00060	294960	4	14	2014	2021	8	2019	14800	2015	309	3510			458	556	1040	6530	9560		
USGS	06478513	00060	294960	4	15	2014	2021	8	2019	15600	2015	317	3620			431	540	1140	6440	9600		
USGS	06478513	00060	294960	4	16	2014	2021	8	2019	17800	2015	302	3880			407	522	1110	6360	9940		
USGS	06478513	00060	294960	4	17	2014	2021	8	2019	20800	2015	274	4230			392	511	1100	6260	10400		
USGS	06478513	00060	294960	4	18	2014	2021	8	2019	22700	2015	290	4520			415	540	1100	6270	10700		
USGS	06478513	00060	294960	4	19	2014	2021	8	2019	22600	2015	314	4610			446	560	1080	6420	10600		
USGS	06478513	00060	294960	4	20	2014	2021	8	2019	21400	2015	314	4520			483	580	1090	6490	10300		
USGS	06478513	00060	294960	4	21	2014	2021	8	2019	20100	2015	307	4410			661	766	1060	6450	9880		
USGS	06478513	00060	294960	4	22	2014	2021	8	2019	19200	2015	294	4330			672	768	1180	6430	9620		
USGS	06478513	00060	294960	4	23	2014	2021	8	2019	18700	2015	254	4260			652	753	1150	6380	9410		
USGS	06478513	00060	294960	4	24	2014	2021	8	2019	19000	2015	219	4270			613	724	1060	6320	9380		
USGS	06478513	00060	294960	4	25	2014	2021	8	2019	19500	2015	204	4300			574	697	979	6280	9440		
USGS	06478513	00060	294960	4	26	2014	2021	8	2019	19300	2015	293	4270			602	690	992	6210	9320		
USGS	06478513	00060	294960	4	27	2014	2021	8	2019	18900	2015	276	4240			593	713	1050	6170	9200		
USGS	06478513	00060	294960	4	28	2014	2021	8	2019	18500	2015	261	4260			577	696	1410	6140	9100		
USGS	06478513	00060	294960	4	29	2014	2021	8	2019	18500	2015	242	4390			572	718	1920	6100	9060		
USGS	06478513	00060	294960	4	30	2014	2021	8	2019	18300	2015	211	4460			557	726	2300	6060	8960		
USGS	06478513	00060	294960	5	1	2014	2021	8	2019	18100	2015	183	4550			535	716	2700	6070	8880		
USGS	06478513	00060	294960	5	2	2014	2021	8	2019	17800	2015	158	4600			513	704	3060	6020	8750		
USGS	06478513	00060	294960	5	3	2014	2021	8	2019	17200	2015	147	4570			494	701	3250	5960	8550		
