agency_cd,site_no,parameter_cd,ts_id,month_nu,day_nu,begin_yr,end_yr,count_nu,date,mean_va
USGS,6479010,60,128843,3,5,2014,2021,8,3/5/2015,487
USGS,6479010,60,128843,3,6,2014,2021,8,3/6/2015,503
USGS,6479010,60,128843,3,7,2014,2021,8,3/7/2015,499
USGS,6479010,60,128843,3,8,2014,2021,8,3/8/2015,502
USGS,6479010,60,128843,3,9,2014,2021,8,3/9/2015,502
USGS,6479010,60,128843,3,10,2014,2021,8,3/10/2015,486
USGS,6479010,60,128843,3,11,2014,2021,8,3/11/2015,498
USGS,6479010,60,128843,3,12,2014,2021,8,3/12/2015,497
USGS,6479010,60,128843,3,13,2014,2021,8,3/13/2015,642
USGS,6479010,60,128843,3,14,2014,2021,8,3/14/2015,946
USGS,6479010,60,128843,3,15,2014,2021,8,3/15/2015,1080
USGS,6479010,60,128843,3,16,2014,2021,8,3/16/2015,2240
USGS,6479010,60,128843,3,17,2014,2021,8,3/17/2015,2540
USGS,6479010,60,128843,3,18,2014,2021,8,3/18/2015,2210
USGS,6479010,60,128843,3,19,2014,2021,8,3/19/2015,1990
USGS,6479010,60,128843,3,20,2014,2021,8,3/20/2015,1900
USGS,6479010,60,128843,3,21,2014,2021,8,3/21/2015,1790
USGS,6479010,60,128843,3,22,2014,2021,8,3/22/2015,1710
USGS,6479010,60,128843,3,23,2014,2021,8,3/23/2015,1620
USGS,6479010,60,128843,3,24,2014,2021,8,3/24/2015,1580
USGS,6479010,60,128843,3,25,2014,2021,8,3/25/2015,1540
USGS,6479010,60,128843,3,26,2014,2021,8,3/26/2015,1490
USGS,6479010,60,128843,3,27,2014,2021,8,3/27/2015,1440
USGS,6479010,60,128843,3,28,2014,2021,8,3/28/2015,1390
USGS,6479010,60,128843,3,29,2014,2021,8,3/29/2015,1410
USGS,6479010,60,128843,3,30,2014,2021,8,3/30/2015,1310
USGS,6479010,60,128843,3,31,2014,2021,8,3/31/2015,1280
USGS,6479010,60,128843,4,1,2014,2021,8,4/1/2015,1280
USGS,6479010,60,128843,4,2,2014,2021,8,4/2/2015,1240
USGS,6479010,60,128843,4,3,2014,2021,8,4/3/2015,1150
USGS,6479010,60,128843,4,4,2014,2021,8,4/4/2015,1060
USGS,6479010,60,128843,4,5,2014,2021,8,4/5/2015,969
USGS,6479010,60,128843,4,6,2014,2021,8,4/6/2015,892
USGS,6479010,60,128843,4,7,2014,2021,8,4/7/2015,831
USGS,6479010,60,128843,4,8,2014,2021,8,4/8/2015,799
USGS,6479010,60,128843,4,9,2014,2021,8,4/9/2015,801
USGS,6479010,60,128843,4,10,2014,2021,8,4/10/2015,789
USGS,6479010,60,128843,4,11,2014,2021,8,4/11/2015,850
USGS,6479010,60,128843,4,12,2014,2021,8,4/12/2015,916
USGS,6479010,60,128843,4,13,2014,2021,8,4/13/2015,910
USGS,6479010,60,128843,4,14,2014,2021,8,4/14/2015,932
USGS,6479010,60,128843,4,15,2014,2021,8,4/15/2015,955
USGS,6479010,60,128843,4,16,2014,2021,8,4/16/2015,984
USGS,6479010,60,128843,4,17,2014,2021,8,4/17/2015,964
USGS,6479010,60,128843,4,18,2014,2021,8,4/18/2015,965
USGS,6479010,60,128843,4,19,2014,2021,8,4/19/2015,992
USGS,6479010,60,128843,4,20,2014,2021,8,4/20/2015,1050
USGS,6479010,60,128843,4,21,2014,2021,8,4/21/2015,1130
USGS,6479010,60,128843,4,22,2014,2021,8,4/22/2015,1210
USGS,6479010,60,128843,4,23,2014,2021,8,4/23/2015,1220
USGS,6479010,60,128843,4,24,2014,2021,8,4/24/2015,1180
USGS,6479010,60,128843,4,25,2014,2021,8,4/25/2015,1140
USGS,6479010,60,128843,4,26,2014,2021,8,4/26/2015,1110
USGS,6479010,60,128843,4,27,2014,2021,8,4/27/2015,1140
USGS,6479010,60,128843,4,28,2014,2021,8,4/28/2015,1260
USGS,6479010,60,128843,4,29,2014,2021,8,4/29/2015,1190
USGS,6479010,60,128843,4,30,2014,2021,8,4/30/2015,1150
USGS,6479010,60,128843,5,1,2014,2021,8,5/1/2015,1300
USGS,6479010,60,128843,5,2,2014,2021,8,5/2/2015,1390
USGS,6479010,60,128843,5,3,2014,2021,8,5/3/2015,1350
USGS,6479010,60,128843,5,4,2014,2021,8,5/4/2015,1290
USGS,6479010,60,128843,5,5,2014,2021,8,5/5/2015,1220
USGS,6479010,60,128843,5,6,2014,2021,8,5/6/2015,1110
USGS,6479010,60,128843,5,7,2014,2021,8,5/7/2015,965
USGS,6479010,60,128843,5,8,2014,2021,8,5/8/2015,858
