date,begin_node,end_node
11/8/2015,1128.04,1119.0618
11/9/2015,1127.91,1119.0218
11/10/2015,1127.73,1119.0418
11/11/2015,1127.59,1119.0118
11/12/2015,1127.5,1118.9618
11/13/2015,1127.25,1118.9618
11/14/2015,1127.11,1118.9618
11/15/2015,1127.25,1118.9718
11/16/2015,1127.37,1118.9918
11/17/2015,1127.27,1118.9818
11/18/2015,1127.29,1118.9518
11/19/2015,1127.3,1118.9818
11/20/2015,1127.3,1118.9618
11/21/2015,1127.25,1118.9018
11/22/2015,1127.18,1118.7918
11/23/2015,1127.13,1118.5618
11/24/2015,1127.1,1117.9018
11/25/2015,1127.05,1117.6618
11/26/2015,1126.99,1117.4318
11/27/2015,1126.77,1117.2318
11/28/2015,1126.77,1117.6418
11/29/2015,1126.84,1117.8018
11/30/2015,1126.83,1117.7618
12/1/2015,1126.95,1117.7318
12/2/2015,1126.99,1117.6218
12/3/2015,1126.88,1117.4418
12/4/2015,1126.88,1117.3018
12/5/2015,1126.91,1116.6018
12/6/2015,1126.88,1116.6918
12/7/2015,1126.87,1116.5318
12/8/2015,1126.79,1116.3318
12/9/2015,1126.77,1116.2518
12/10/2015,1125.57,1116.1718
12/11/2015,1126.39,1116.3318
12/12/2015,1126.36,1116.2518
12/13/2015,1126.41,1116.2118
12/14/2015,1126.25,1116.0718
12/15/2015,1125.44,1116.1018
12/16/2015,1126.22,1116.1418
12/17/2015,1126.14,1116.0718
12/18/2015,1126.17,1116.2218
12/19/2015,1126.26,1116.2118
12/20/2015,1126.31,1116.2418
12/21/2015,1126.34,1116.2318
12/22/2015,1126.34,1116.1918
12/23/2015,1126.35,1116.2518
12/24/2015,1126.27,1116.3118
12/25/2015,1126.25,1116.3818
12/26/2015,1126.24,1116.3718
12/27/2015,1125.81,1116.3518
12/28/2015,1126.45,1116.4118
12/29/2015,1126.6,1116.4518
12/30/2015,1126.14,1116.5318
12/31/2015,1126.78,
