agency_cd,site_no,parameter_cd,ts_id,month_nu,day_nu,begin_yr,end_yr,count_nu,,mean_va
USGS,6478513,60,294960,5,23,2014,2021,8,5/23/2015,2980
USGS,6478513,60,294960,5,24,2014,2021,8,5/24/2015,3090
USGS,6478513,60,294960,5,25,2014,2021,8,5/25/2015,3420
USGS,6478513,60,294960,5,26,2014,2021,8,5/26/2015,3690
USGS,6478513,60,294960,5,27,2014,2021,8,5/27/2015,3780
USGS,6478513,60,294960,5,28,2014,2021,8,5/28/2015,3920
USGS,6478513,60,294960,5,29,2014,2021,8,5/29/2015,4040
USGS,6478513,60,294960,5,30,2014,2021,8,5/30/2015,4460
USGS,6478513,60,294960,5,31,2014,2021,8,5/31/2015,4480
USGS,6478513,60,294960,6,1,2014,2021,8,6/1/2015,4250
USGS,6478513,60,294960,6,2,2014,2021,8,6/2/2015,3950
USGS,6478513,60,294960,6,3,2014,2021,8,6/3/2015,3620
USGS,6478513,60,294960,6,4,2014,2021,8,6/4/2015,3320
USGS,6478513,60,294960,6,5,2014,2021,8,6/5/2015,3070
USGS,6478513,60,294960,6,6,2014,2021,8,6/6/2015,2870
USGS,6478513,60,294960,6,7,2014,2021,8,6/7/2015,2740
USGS,6478513,60,294960,6,8,2014,2021,8,6/8/2015,2590
USGS,6478513,60,294960,6,9,2014,2021,8,6/9/2015,2550
USGS,6478513,60,294960,6,10,2014,2021,8,6/10/2015,2520
USGS,6478513,60,294960,6,11,2014,2021,8,6/11/2015,2390
USGS,6478513,60,294960,6,12,2014,2021,8,6/12/2015,2370
USGS,6478513,60,294960,6,13,2014,2021,8,6/13/2015,2610
USGS,6478513,60,294960,6,14,2014,2021,8,6/14/2015,2570
USGS,6478513,60,294960,6,15,2014,2021,8,6/15/2015,2460
USGS,6478513,60,294960,6,16,2014,2021,8,6/16/2015,2340
USGS,6478513,60,294960,6,17,2014,2021,8,6/17/2015,2230
USGS,6478513,60,294960,6,18,2014,2021,8,6/18/2015,2190
USGS,6478513,60,294960,6,19,2014,2021,8,6/19/2015,2230
USGS,6478513,60,294960,6,20,2014,2021,8,6/20/2015,2260
USGS,6478513,60,294960,6,21,2014,2021,8,6/21/2015,2450
USGS,6478513,60,294960,6,22,2014,2021,8,6/22/2015,2550
USGS,6478513,60,294960,6,23,2014,2021,8,6/23/2015,2500
USGS,6478513,60,294960,6,24,2014,2021,8,6/24/2015,2400
USGS,6478513,60,294960,6,25,2014,2021,8,6/25/2015,2320
USGS,6478513,60,294960,6,26,2014,2021,8,6/26/2015,2330
USGS,6478513,60,294960,6,27,2014,2021,8,6/27/2015,2300
USGS,6478513,60,294960,6,28,2014,2021,8,6/28/2015,2320
USGS,6478513,60,294960,6,29,2014,2021,8,6/29/2015,2380
USGS,6478513,60,294960,6,30,2014,2021,8,6/30/2015,2360
USGS,6478513,60,294960,7,1,2014,2021,8,7/1/2015,2310
USGS,6478513,60,294960,7,2,2014,2021,8,7/2/2015,2220
USGS,6478513,60,294960,7,3,2014,2021,8,7/3/2015,2140
USGS,6478513,60,294960,7,4,2014,2021,8,7/4/2015,2130
USGS,6478513,60,294960,7,5,2014,2021,8,7/5/2015,2120
USGS,6478513,60,294960,7,6,2014,2021,8,7/6/2015,2080
USGS,6478513,60,294960,7,7,2014,2021,8,7/7/2015,2060
USGS,6478513,60,294960,7,8,2014,2021,8,7/8/2015,2050
USGS,6478513,60,294960,7,9,2014,2021,8,7/9/2015,2060
USGS,6478513,60,294960,7,10,2014,2021,8,7/10/2015,2010
USGS,6478513,60,294960,7,11,2014,2021,8,7/11/2015,1980
USGS,6478513,60,294960,7,12,2014,2021,8,7/12/2015,1990
USGS,6478513,60,294960,7,13,2014,2021,8,7/13/2015,2040
USGS,6478513,60,294960,7,14,2014,2021,8,7/14/2015,2190
USGS,6478513,60,294960,7,15,2014,2021,8,7/15/2015,2390
USGS,6478513,60,294960,7,16,2014,2021,8,7/16/2015,2540
USGS,6478513,60,294960,7,17,2014,2021,8,7/17/2015,2630
USGS,6478513,60,294960,7,18,2014,2021,8,7/18/2015,2670
USGS,6478513,60,294960,7,19,2014,2021,8,7/19/2015,2620
USGS,6478513,60,294960,7,20,2014,2021,8,7/20/2015,2550
USGS,6478513,60,294960,7,21,2014,2021,8,7/21/2015,2480
USGS,6478513,60,294960,7,22,2014,2021,8,7/22/2015,2370
USGS,6478513,60,294960,7,23,2014,2021,8,7/23/2015,2230
USGS,6478513,60,294960,7,24,2014,2021,8,7/24/2015,2090
USGS,6478513,60,294960,7,25,2014,2021,8,7/25/2015,2000
USGS,6478513,60,294960,7,26,2014,2021,8,7/26/2015,1920
USGS,6478513,60,294960,7,27,2014,2021,8,7/27/2015,1850
USGS,6478513,60,294960,7,28,2014,2021,8,7/28/2015,1790
USGS,6478513,60,294960,7,29,2014,2021,8,7/29/2015,1740
USGS,6478513,60,294960,7,30,2014,2021,8,7/30/2015,1680
USGS,6478513,60,294960,7,31,2014,2021,8,7/31/2015,1630
USGS,6478513,60,294960,8,1,2014,2021,8,8/1/2015,1590
USGS,6478513,60,294960,8,2,2014,2021,8,8/2/2015,1560
USGS,6478513,60,294960,8,3,2014,2021,8,8/3/2015,1630
USGS,6478513,60,294960,8,4,2014,2021,8,8/4/2015,1790
USGS,6478513,60,294960,8,5,2014,2021,8,8/5/2015,1910
USGS,6478513,60,294960,8,6,2014,2021,8,8/6/2015,1890
USGS,6478513,60,294960,8,7,2014,2021,8,8/7/2015,1840
