type,time,flow
vermillion river,7/19/2015 2:24,-120987.586
vermillion river,7/19/2015 4:48,-120994.32
vermillion river,7/19/2015 7:12,-121001.398
vermillion river,7/19/2015 9:36,-121008.906
vermillion river,7/19/2015 12:00,-121015.422
vermillion river,7/19/2015 14:24,-121021.992
vermillion river,7/19/2015 16:48,-121029.25
vermillion river,7/19/2015 19:12,-121035.992
vermillion river,7/19/2015 21:36,-121043.18
vermillion river,7/20/2015 0:00,-121049.672
vermillion river,7/20/2015 2:24,-121055.828
vermillion river,7/20/2015 4:48,-121062.484
vermillion river,7/20/2015 7:12,-121068.188
vermillion river,7/20/2015 9:36,-121074.133
vermillion river,7/20/2015 12:00,-121079.641
vermillion river,7/20/2015 14:24,-121085.016
vermillion river,7/20/2015 16:48,-121089.492
vermillion river,7/20/2015 19:12,-121094.445
vermillion river,7/20/2015 21:36,-121100.086
vermillion river,7/21/2015 0:00,-121105.133
vermillion river,7/21/2015 2:24,-121109.344
vermillion river,7/21/2015 4:48,-121113.781
vermillion river,7/21/2015 7:12,-121118.25
vermillion river,7/21/2015 9:36,-121122.227
vermillion river,7/21/2015 12:00,-121126.625
vermillion river,7/21/2015 14:24,-121130.25
vermillion river,7/21/2015 16:48,-121133.773
vermillion river,7/21/2015 19:12,-121137.016
vermillion river,7/21/2015 21:36,-121139.945
vermillion river,7/22/2015 0:00,-121142.695
vermillion river,7/22/2015 2:24,-121145.398
vermillion river,7/22/2015 4:48,-121148.328
vermillion river,7/22/2015 7:12,-121151.563
vermillion river,7/22/2015 9:36,-121154.031
vermillion river,7/22/2015 12:00,-121156.641
vermillion river,7/22/2015 14:24,-121158.016
vermillion river,7/22/2015 16:48,-121159.25
vermillion river,7/22/2015 19:12,-121159.773
vermillion river,7/22/2015 21:36,-121160.086
vermillion river,7/23/2015 0:00,-121159.867
vermillion river,7/23/2015 2:24,-121160.094
vermillion river,7/23/2015 4:48,-121159.57
vermillion river,7/23/2015 7:12,-121159.18
vermillion river,7/23/2015 9:36,-121158.523
vermillion river,7/23/2015 12:00,-121158.055
vermillion river,7/23/2015 14:24,-121157.078
vermillion river,7/23/2015 16:48,-121156.117
vermillion river,7/23/2015 19:12,-121154.719
vermillion river,7/23/2015 21:36,-121153.414
vermillion river,7/24/2015 0:00,-121153.313
vermillion river,7/24/2015 2:24,-121152.469
vermillion river,7/24/2015 4:48,-121151.023
vermillion river,7/24/2015 7:12,-121149.852
vermillion river,7/24/2015 9:36,-121147.961
vermillion river,7/24/2015 12:00,-121146.063
vermillion river,7/24/2015 14:24,-121144.422
vermillion river,7/24/2015 16:48,-121142.875
vermillion river,7/24/2015 19:12,-121141.078
vermillion river,7/24/2015 21:36,-121139.234
vermillion river,7/25/2015 0:00,-121136.703
vermillion river,7/25/2015 2:24,-121133.609
vermillion river,7/25/2015 4:48,-121130.266
vermillion river,7/25/2015 7:12,-121127.492
vermillion river,7/25/2015 9:36,-121124.289
vermillion river,7/25/2015 12:00,-121121.25
vermillion river,7/25/2015 14:24,-121118.109
vermillion river,7/25/2015 16:48,-121114.789
vermillion river,7/25/2015 19:12,-121110.156
vermillion river,7/25/2015 21:36,-121105.805
vermillion river,7/26/2015 0:00,-121101.258
vermillion river,7/26/2015 2:24,-121095.969
vermillion river,7/26/2015 4:48,-121091
vermillion river,7/26/2015 7:12,-121086.359
vermillion river,7/26/2015 9:36,-121081.359
vermillion river,7/26/2015 12:00,-121076.086
vermillion river,7/26/2015 14:24,-121070.258
