agency_cd,site_no,parameter_cd,ts_id,month_nu,day_nu,begin_yr,end_yr,date,count_nu,mean_va
USGS,6485950,60,128929,2,19,2016,2021,2/19/2015,6,1730
USGS,6485950,60,128929,2,20,2016,2021,2/20/2015,6,1850
USGS,6485950,60,128929,2,21,2016,2021,2/21/2015,6,2030
USGS,6485950,60,128929,2,22,2016,2021,2/22/2015,6,2150
USGS,6485950,60,128929,2,23,2016,2021,2/23/2015,6,2280
USGS,6485950,60,128929,2,24,2016,2021,2/24/2015,6,2310
USGS,6485950,60,128929,2,25,2016,2021,2/25/2015,6,2290
USGS,6485950,60,128929,2,26,2016,2021,2/26/2015,6,2270
USGS,6485950,60,128929,2,27,2016,2021,2/27/2015,6,2330
USGS,6485950,60,128929,2,28,2016,2021,2/28/2015,6,2390
USGS,6485950,60,128929,2,29,2016,2020,3/1/2015,2,4460
USGS,6485950,60,128929,3,1,2015,2021,3/1/2015,7,2110
USGS,6485950,60,128929,3,2,2015,2021,3/2/2015,7,2160
USGS,6485950,60,128929,3,3,2015,2021,3/3/2015,7,2190
USGS,6485950,60,128929,3,4,2015,2021,3/4/2015,7,2300
USGS,6485950,60,128929,3,5,2015,2021,3/5/2015,7,2450
USGS,6485950,60,128929,3,6,2015,2021,3/6/2015,7,2630
USGS,6485950,60,128929,3,7,2015,2021,3/7/2015,7,2770
USGS,6485950,60,128929,3,8,2015,2021,3/8/2015,7,3070
USGS,6485950,60,128929,3,9,2015,2021,3/9/2015,7,3260
USGS,6485950,60,128929,3,10,2015,2021,3/10/2015,7,3250
USGS,6485950,60,128929,3,11,2015,2021,3/11/2015,7,3230
USGS,6485950,60,128929,3,12,2015,2021,3/12/2015,7,3280
USGS,6485950,60,128929,3,13,2015,2021,3/13/2015,7,4160
USGS,6485950,60,128929,3,14,2015,2021,3/14/2015,7,5980
USGS,6485950,60,128929,3,15,2015,2021,3/15/2015,7,7220
USGS,6485950,60,128929,3,16,2015,2021,3/16/2015,7,9620
USGS,6485950,60,128929,3,17,2015,2021,3/17/2015,7,11400
USGS,6485950,60,128929,3,18,2015,2021,3/18/2015,7,9950
USGS,6485950,60,128929,3,19,2015,2021,3/19/2015,7,8680
USGS,6485950,60,128929,3,20,2015,2021,3/20/2015,7,7990
USGS,6485950,60,128929,3,21,2015,2021,3/21/2015,7,7460
USGS,6485950,60,128929,3,22,2015,2021,3/22/2015,7,7120
USGS,6485950,60,128929,3,23,2015,2021,3/23/2015,7,7020
USGS,6485950,60,128929,3,24,2015,2021,3/24/2015,7,6940
USGS,6485950,60,128929,3,25,2015,2021,3/25/2015,7,7070
USGS,6485950,60,128929,3,26,2015,2021,3/26/2015,7,7170
USGS,6485950,60,128929,3,27,2015,2021,3/27/2015,7,7060
USGS,6485950,60,128929,3,28,2015,2021,3/28/2015,7,7150
USGS,6485950,60,128929,3,29,2015,2021,3/29/2015,7,7380
USGS,6485950,60,128929,3,30,2015,2021,3/30/2015,7,7380
USGS,6485950,60,128929,3,31,2015,2021,3/31/2015,7,7420
USGS,6485950,60,128929,4,1,2015,2021,4/1/2015,7,7770
USGS,6485950,60,128929,4,2,2015,2021,4/2/2015,7,7760
USGS,6485950,60,128929,4,3,2015,2021,4/3/2015,7,7290
USGS,6485950,60,128929,4,4,2015,2021,4/4/2015,7,6790
USGS,6485950,60,128929,4,5,2015,2021,4/5/2015,7,6380
USGS,6485950,60,128929,4,6,2015,2021,4/6/2015,7,6050
USGS,6485950,60,128929,4,7,2015,2021,4/7/2015,7,5820
USGS,6485950,60,128929,4,8,2015,2021,4/8/2015,7,5690
USGS,6485950,60,128929,4,9,2015,2021,4/9/2015,7,5760
USGS,6485950,60,128929,4,10,2015,2021,4/10/2015,7,6100
USGS,6485950,60,128929,4,11,2015,2021,4/11/2015,7,6450
USGS,6485950,60,128929,4,12,2015,2021,4/12/2015,7,6410
